id,popularity,title,vote_average,budget,imdb_id,origin_country,production_companies,revenue,runtime,Year,Genre,Director,Country,Ratings,seriesID
76600,187.304,Avatar: O Caminho da Água,7.622,460000000,tt1630029,['US'],"[{'id': 127928, 'logo_path': '/h0rjX5vjW5r8yEnUBStFarjcLT4.png', 'name': '20th Century Studios', 'origin_country': 'US'}, {'id': 574, 'logo_path': '/nLNW1TeFUYU0M5U0qmYUzOIwlB6.png', 'name': 'Lightstorm Entertainment', 'origin_country': 'US'}]",2320250281,192,2022,"Action, Adventure, Fantasy",James Cameron,United States,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",
1062807,161.5,SPY x FAMILY CÓDIGO: Branco,6.9,5000000,tt26684398,['JP'],"[{'id': 31058, 'logo_path': '/1vwZPG0zMVRvThCY8Lljh0ppxQo.png', 'name': 'WIT STUDIO', 'origin_country': 'JP'}, {'id': 121589, 'logo_path': '/kZvTniBgpTzAThHCa0OZ1FJtRjy.png', 'name': 'CloverWorks', 'origin_country': 'JP'}, {'id': 882, 'logo_path': '/fRSWWjquvzcHjACbtF53utZFIll.png', 'name': 'TOHO', 'origin_country': 'JP'}, {'id': 2918, 'logo_path': '/gyEWUBWwqrm3H5T2hkERD9LxpOq.png', 'name': 'Shueisha', 'origin_country': 'JP'}, {'id': 3034, 'logo_path': '/jnuO8pZNEBLEq5YaOP1f5OkmG91.png', 'name': 'TV Tokyo', 'origin_country': 'JP'}, {'id': 12655, 'logo_path': '/dfGqf2NoMVPrDywDL90D5HAhBlW.png', 'name': 'Shogakukan-Shueisha Productions', 'origin_country': 'JP'}]",59256423,110,2023,"Animation, Action, Comedy","Kazuhiro Furuhashi, Takashi Katagiri",Japan,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",
801688,158.578,కల్కి 2898-ఎ.డి,6.7,75000000,tt12735488,['IN'],"[{'id': 80065, 'logo_path': '/9zMLq3789hC7qAPpbMl4TwaxJ69.png', 'name': 'Vyjayanthi Movies', 'origin_country': 'IN'}]",120000000,181,2024,"Action, Adventure, Drama",Nag Ashwin,India,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",
704673,165.433,Alerta de Risco,5.815,0,tt5834874,['US'],"[{'id': 3528, 'logo_path': '/cCzCClIzIh81Fa79hpW5nXoUsHK.png', 'name': 'Thunder Road', 'origin_country': 'US'}, {'id': 218228, 'logo_path': None, 'name': 'Mexican Spitfire', 'origin_country': 'US'}]",0,107,2024,"Action, Crime, Thriller",Mouly Surya,United States,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}]",
1291559,146.513,Até que as Cores Acabem,8.633,0,tt31078761,['JP'],"[{'id': 955, 'logo_path': '/5xnXD3PJI1HqOJceSAKZ3fDqO1V.png', 'name': 'Nikkatsu Corporation', 'origin_country': 'JP'}, {'id': 146106, 'logo_path': None, 'name': 'Django Film', 'origin_country': 'JP'}]",0,119,2024,"Drama, Romance",Takahiro Miki,Japan,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",
324786,125.841,Até o Último Homem,8.197,40000000,tt2119532,"['AU', 'CN', 'US', 'GB']","[{'id': 491, 'logo_path': '/5LvDUt3KmvRnXQ4NrdWJYHeuA8J.png', 'name': 'Summit Entertainment', 'origin_country': 'US'}, {'id': 8915, 'logo_path': None, 'name': 'Pandemonium', 'origin_country': 'US'}, {'id': 10246, 'logo_path': '/rREvQNWAxkDfY9CDn2c5YxEMPdP.png', 'name': 'Cross Creek Pictures', 'origin_country': 'US'}, {'id': 455, 'logo_path': None, 'name': 'Permut Presentations', 'origin_country': 'US'}, {'id': 50481, 'logo_path': '/mBgGtJJQ9aOpKBnuKXM75kHYT6D.png', 'name': 'Vendian Entertainment', 'origin_country': 'US'}, {'id': 92455, 'logo_path': '/yIY6pphobFpoaAoUYq4HAjX72Rn.png', 'name': 'Argent Pictures', 'origin_country': 'US'}, {'id': 7437, 'logo_path': '/e5CcgFrdlxMUwlsS72si8q1yHBr.png', 'name': 'IM Global', 'origin_country': 'US'}, {'id': 51860, 'logo_path': '/74RVWMcfeT36lnZGY8NdI7OhGmr.png', 'name': 'AI Film', 'origin_country': 'GB'}, {'id': 8186, 'logo_path': None, 'name': 'Bliss Media', 'origin_country': 'CN'}, {'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 94431, 'logo_path': None, 'name': 'Kylin Pictures', 'origin_country': 'CN'}, {'id': 234199, 'logo_path': None, 'name': 'Cosmos Filmed Entertainment', 'origin_country': 'AU'}]",175302354,140,2016,"Biography, Drama, History",Mel Gibson,United States,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",
346698,143.123,Barbie,7.0,145000000,tt1517268,['US'],"[{'id': 82968, 'logo_path': '/gRROMOG5bpF6TIDMbfaa5gnFFzl.png', 'name': 'LuckyChap Entertainment', 'origin_country': 'US'}, {'id': 437, 'logo_path': '/nu20mtwbEIhUNnQ5NXVhHsNknZj.png', 'name': 'Heyday Films', 'origin_country': 'GB'}, {'id': 181486, 'logo_path': None, 'name': 'NB/GG Pictures', 'origin_country': 'US'}, {'id': 6220, 'logo_path': '/cAj69EL1zSXmZH6STbMGZrunyMD.png', 'name': 'Mattel', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]",1445638421,114,2023,"Adventure, Comedy, Fantasy",Greta Gerwig,"United States, United Kingdom","[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",
70981,160.252,Prometheus,6.559,130000000,tt1446714,['US'],"[{'id': 444, 'logo_path': None, 'name': 'Dune Entertainment', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 401, 'logo_path': '/t7mM3DvQ9MwDT3YzMCBrkWpWiiz.png', 'name': 'Brandywine Productions', 'origin_country': 'US'}, {'id': 221347, 'logo_path': '/6Ry6uNBaa0IbbSs1XYIgX5DkA9r.png', 'name': 'Scott Free Productions', 'origin_country': 'US'}]",403354469,124,2012,"Adventure, Mystery, Sci-Fi",Ridley Scott,"United Kingdom, United States","[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",
1308757,148.827,Armadilha em Alto Mar,7.0,0,tt11724920,['US'],"[{'id': 89989, 'logo_path': None, 'name': 'Del Rey Films', 'origin_country': ''}, {'id': 232155, 'logo_path': None, 'name': 'Laguna Six', 'origin_country': ''}]",0,88,2024,"Crime, Thriller",Phil Volken,United States,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",
1026999,144.002,A Academia do Sr. Kleks,6.332,0,tt20857676,['PL'],"[{'id': 133440, 'logo_path': None, 'name': 'Open Mind Production', 'origin_country': 'PL'}, {'id': 213582, 'logo_path': '/9Px2FG6EhNfRvMoS9MdtY0ivkFo.png', 'name': 'Jake Vision DGA Studio', 'origin_country': 'PL'}, {'id': 215209, 'logo_path': None, 'name': 'Bajka Pana Kleksa', 'origin_country': 'PL'}, {'id': 231784, 'logo_path': None, 'name': 'Platinum Towers Management', 'origin_country': ''}, {'id': 231785, 'logo_path': None, 'name': 'Flame Natalia Siwiec', 'origin_country': ''}, {'id': 231786, 'logo_path': None, 'name': 'MSL', 'origin_country': ''}, {'id': 148963, 'logo_path': '/jYOXf9Q07mlO4AU0o16YpTWlor2.png', 'name': 'MFF', 'origin_country': 'PL'}, {'id': 125737, 'logo_path': '/v4YRjUXtET5EqW2XXYB05K3yUpd.png', 'name': 'MIK', 'origin_country': 'PL'}, {'id': 233704, 'logo_path': None, 'name': 'TVN Warner Bros. Discovery', 'origin_country': 'PL'}]",15348026,129,2023,Fantasy,Maciej Kawulski,Poland,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",
